CancerSite,DataType,StatisticType,Rate,ModeledRate,Year,RaceEthnicity,Sex,AgeRange,YearRange,
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,489.6991,489.8344,1978,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,497.6097,496.8092,1979,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,505.2494,503.8833,1980,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,510.8547,511.0581,1981,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,512.4392,518.3351,1982,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,520.9434,525.7157,1983,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,527.6713,533.2014,1984,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,533.4932,540.7937,1985,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,542.8047,548.4941,1986,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,568.7574,556.3042,1987,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,564.9709,564.2254,1988,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,573.4764,572.2595,1989,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,599.2763,600.9174,1990,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,644.4397,631.0104,1991,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,663.3382,662.6105,1992,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,620.126,628.688,1993,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,587.4498,596.5021,1994,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,570.0742,565.9641,1995,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,573.725,569.7524,1996,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,576.2115,573.5661,1997,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,575.8212,577.4053,1998,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,582.3615,581.2703,1999,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,583.6557,585.1611,2000,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,587.2019,581.1375,2001,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,580.9977,577.1416,2002,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,564.8061,573.1732,2003,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,563.5589,569.2321,2004,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,557.4766,565.318,2005,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,562.9029,561.4309,2006,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,572.2157,557.5705,2007,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,552.3465,553.7367,2008,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,542.7404,549.9292,2009,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,531.3008,530.0203,2010,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,519.1309,510.8322,2011,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,486.4296,492.3387,2012,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,116.7605,117.0554,1975,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,118.582,117.6207,1976,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,118.9808,118.1888,1977,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,117.7794,118.7596,1978,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,120.7304,119.3332,1979,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,119.0093,119.9096,1980,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,120.4885,120.4887,1981,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,119.2334,121.0706,1982,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,120.4101,121.6553,1983,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,122.6337,122.2429,1984,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,123.7511,122.8333,1985,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,122.8944,123.4265,1986,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,120.8885,121.6143,1987,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,119.3853,119.8287,1988,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,118.7482,118.0694,1989,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,117.2095,116.3358,1990,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,116.7032,114.6277,1991,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,114.0452,112.9447,1992,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,110.8492,111.2864,1993,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,109.2886,109.6525,1994,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,105.733,108.0425,1995,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,110.0418,109.5689,1996,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,112.4584,111.117,1997,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,112.6074,112.6868,1998,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,111.0933,111.2248,1999,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,107.7552,109.7818,2000,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,107.8528,108.3575,2001,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,106.1038,106.9516,2002,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,104.5779,105.564,2003,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,106.432,104.1944,2004,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,103.2604,102.8426,2005,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,101.8877,101.5083,2006,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,101.4804,100.1913,2007,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,100.7721,98.8915,2008,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,97.9527,97.6084,2009,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,94.3355,96.3421,2010,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,94.2583,95.0921,2011,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,93.6068,93.8584,2012,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,5.6441,5.2461,1975,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,5.9433,5.3366,1976,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,5.2648,5.4287,1977,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,5.6579,5.5224,1978,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,6.2179,5.6177,1979,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,5.7491,5.7147,1980,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,5.173,5.8133,1981,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,5.4573,5.9136,1982,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,6.1126,6.0156,1983,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,5.5971,6.1195,1984,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,6.2617,6.2251,1985,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,6.2343,6.3325,1986,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,6.4023,6.4418,1987,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,6.3073,6.5529,1988,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,6.2037,6.666,1989,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,7.2381,6.781,1990,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,6.747,6.8981,1991,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,7.3944,7.0171,1992,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,6.9141,7.1382,1993,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,7.1636,7.2614,1994,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,6.6303,7.3867,1995,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,7.4749,7.5142,1996,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,7.7401,7.6438,1997,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,7.9239,7.7757,1998,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,8.4042,7.9099,1999,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,8.0168,8.0464,2000,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,8.4238,8.1853,2001,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,8.0923,8.3265,2002,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,8.2276,8.4702,2003,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,9.2751,8.6164,2004,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,8.4702,8.565,2005,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,8.2521,8.5139,2006,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,8.416,8.4631,2007,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,8.5749,8.4126,2008,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,8.4839,8.3624,2009,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,7.9356,8.3126,2010,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,8.5441,8.263,2011,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,8.1716,8.2137,2012,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,15.9767,16.3243,1975,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,15.9771,16.0283,1976,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,15.0225,15.7377,1977,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,14.9936,15.4523,1978,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,15.5756,15.1721,1979,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,15.6816,14.897,1980,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,15.073,14.6268,1981,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,14.5819,14.3616,1982,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,13.6946,14.1012,1983,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,13.9008,13.8455,1984,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,13.3246,13.5944,1985,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,13.5285,13.3479,1986,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,13.264,13.1059,1987,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,13.5807,12.8682,1988,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,13.4731,12.6349,1989,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,11.9203,12.4057,1990,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,12.3208,12.1808,1991,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,11.6764,11.9599,1992,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,11.6111,11.743,1993,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,11.7523,11.5301,1994,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,11.2307,11.321,1995,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,11.0188,11.1157,1996,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,10.788,10.9142,1997,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,10.5178,10.7162,1998,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,10.492,10.5219,1999,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,9.8734,10.3311,2000,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,9.6675,10.1438,2001,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,9.8593,9.9598,2002,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,9.3315,9.7792,2003,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,9.9691,9.6019,2004,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,9.2132,9.4278,2005,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,9.325,9.2568,2006,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,9.1859,9.089,2007,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,8.7968,8.9242,2008,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,9.1993,8.7623,2009,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,8.5982,8.6034,2010,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,8.8234,8.4474,2011,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,8.1957,8.2943,2012,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,0.9951,1.0308,1975,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,1.0589,1.0345,1976,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,1.199,1.0382,1977,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,0.9205,1.0419,1978,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,1.028,1.0456,1979,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,1.088,1.0493,1980,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,1.0901,1.053,1981,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,0.9873,1.0568,1982,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,1.2432,1.0606,1983,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,0.889,1.0643,1984,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,1.122,1.0681,1985,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1195,1.0719,1986,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,0.9642,1.0758,1987,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,0.9311,1.0796,1988,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,0.9034,1.0834,1989,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1364,1.0873,1990,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1751,1.0912,1991,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,1.2119,1.0951,1992,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,1.0723,1.099,1993,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1832,1.1029,1994,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,1.2667,1.1068,1995,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,1.0652,1.1107,1996,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,1.2946,1.1147,1997,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,1.0866,1.1187,1998,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1165,1.1227,1999,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,0.9685,1.1267,2000,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1384,1.1307,2001,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,1.0755,1.1347,2002,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,0.891,1.1387,2003,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,0.9692,1.1428,2004,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1475,1.1469,2005,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
Bones and Joints,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1875,1.151,2006,White (includes Hispanic),Male,All Ages,1975-2012 (SEER 9),
